,Opportunity Name,Created Date,Close Date, Account Name, Account Type, Opp Value (EUR),Stage,Opportunity Owner,Country,Region,Segment,Lead Source,Type,Primary Campaign Source,Close Reason,Business Type,Deal Opened (Days)
63,Opp 71,2023-10-11,2024-01-08, Account 62, Small,803.0,Closed Won,Sales Specialist 28,Country 5,Region 2,Segment 3,Unknown,Existing Business,Campaing 14,Brand Recognition / Supplier Reputation,Unknown,89
64,Opp 72,2023-10-05,2024-01-08, Account 63, Top 3,4.002,Closed Won,Sales Specialist 27,Country 5,Region 2,Segment 3,Unknown,Existing Business,Campaing 14,Availability / Lead Time,Existing Business,95
65,Opp 73,2023-09-13,2024-01-08, Account 64, Top 3,3.757,Closed Won,Sales Specialist 27,Country 5,Region 2,Segment 3,Unknown,Existing Business,Campaing 14,Features / Specification / Performance,Existing Business,117
66,Opp 74,2023-06-01,2024-01-08, Account 65, Top 3,588.0,Closed Won,Sales Specialist 27,Country 5,Region 2,Segment 3,Unknown,Existing Business,Campaing 14,Features / Specification / Performance,Unknown,221
67,Opp 75,2022-12-26,2024-03-11, Account 64, Top 3,300.0,Closed Lost,Sales Specialist 27,Country 5,Region 2,Segment 3,Unknown,New Business,Campaing 14,Unable to Confirm Sale,Unknown,441
68,Opp 76,2020-11-23,2024-05-22, Account 66, Top 1,264.0,Closed Lost,Sales Specialist 27,Country 5,Region 2,Segment 2,Visit/Sales Call,New Business,Campaing 14,Unable to Confirm Sale,Unknown,1276
69,Opp 77,2023-07-31,2024-01-08, Account 66, Top 1,2.839,Closed Won,Sales Specialist 27,Country 5,Region 2,Segment 2,Unknown,Existing Business,Campaing 15,Service & Support,Unknown,161
70,Opp 91,2024-02-07,2024-02-07, Account 78, Top 2,,Closed Lost,Sales Specialist 31,Country 1,Region 1,Segment 4,Unknown,Existing Business,Campaing 18,Availability / Lead Time,Unknown,0
71,Opp 92,2024-02-07,2024-03-25, Account 79, Small,286.0,Closed Lost,Sales Specialist 31,Country 1,Region 1,Segment 1,Unknown,Existing Business,Campaing 18,Features / Specification / Performance,Unknown,47
72,Opp 99,2023-12-15,2024-01-05, Account 86, Top 3,2.636,Closed Won,Sales Specialist 35,Country 5,Region 2,Segment 1,Sales Visit/Demo,New Business,Campaing 23,Customer Relationship,Unknown,21
73,Opp 101,2023-12-21,2024-01-08, Account 88, Top 3,432.0,Closed Lost,Sales Specialist 35,Country 5,Region 2,Segment 1,Sales Visit/Demo,New Business,Campaing 23,Unable to Confirm Sale,Unknown,18
74,Opp 102,2023-11-13,2024-01-08, Account 89, Small,26.0,Closed Won,Sales Specialist 35,Country 5,Region 2,Segment 1,Sales Visit/Demo,New Business,Campaing 23,Brand Recognition / Supplier Reputation,Unknown,56
75,Opp 103,2023-12-22,2024-01-08, Account 90, Top 3,207.0,Closed Won,Sales Specialist 35,Country 5,Region 2,Segment 1,Sales Visit/Demo,New Business,Campaing 23,Brand Recognition / Supplier Reputation,Unknown,17
76,Opp 104,2023-12-21,2024-01-08, Account 90, Top 3,176.0,Closed Won,Sales Specialist 35,Country 5,Region 2,Segment 1,Sales Visit/Demo,New Business,Campaing 23,Brand Recognition / Supplier Reputation,Unknown,18
77,Opp 105,2023-12-15,2024-01-08, Account 86, Top 3,26.0,Closed Won,Sales Specialist 35,Country 5,Region 2,Segment 1,Sales Visit/Demo,New Business,Campaing 23,Brand Recognition / Supplier Reputation,Unknown,24
78,Opp 106,2023-12-22,2024-01-09, Account 91, Small,26.0,Closed Won,Sales Specialist 35,Country 5,Region 2,Segment 1,Sales Visit/Demo,New Business,Campaing 23,Brand Recognition / Supplier Reputation,Unknown,18
79,Opp 107,2023-12-22,2024-01-09, Account 92, Top 3,85.0,Closed Won,Sales Specialist 35,Country 5,Region 2,Segment 1,Sales Visit/Demo,New Business,Campaing 23,Brand Recognition / Supplier Reputation,Unknown,18
80,Opp 108,2024-01-11,2024-03-18, Account 90, Top 3,36.0,Closed Won,Sales Specialist 35,Country 5,Region 2,Segment 1,Sales Visit/Demo,New Business,Campaing 23,Brand Recognition / Supplier Reputation,Unknown,67
81,Opp 109,2023-11-03,2024-04-24, Account 93, Small,255.0,Closed Lost,Sales Specialist 37,Country 5,Region 2,Segment 1,Sales Visit/Demo,New Business,Campaing 23,Project/Budget Cancelled/Out of Business,Unknown,173
82,Opp 110,2023-12-21,2024-04-25, Account 94, Top 3,432.0,Closed Lost,Sales Specialist 35,Country 5,Region 2,Segment 1,Sales Visit/Demo,New Business,Campaing 23,Project/Budget Cancelled/Out of Business,Unknown,126
83,Opp 113,2023-05-31,2024-01-02, Account 96, Top 3,10.295,Closed Lost,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Price,Unknown,216
84,Opp 114,2023-05-31,2024-01-02, Account 97, Small,7.073,Closed Lost,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Price,Unknown,216
85,Opp 115,2023-06-23,2024-01-03, Account 98, Top 3,7.958,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Project/Budget Cancelled/Out of Business,Unknown,194
86,Opp 116,2023-06-02,2024-01-03, Account 99, Top 3,8.126,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Project/Budget Cancelled/Out of Business,Unknown,215
87,Opp 117,2023-09-06,2024-01-06, Account 100, Small,98.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 25,Automatically closed,Unknown,122
88,Opp 118,2023-08-16,2024-01-10, Account 101, Small,3.416,Closed Lost,Sales Specialist 13,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Price,Unknown,147
89,Opp 119,2023-08-22,2024-01-11, Account 102, Top 3,6.325,Closed Lost,Sales Specialist 41,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Price,Unknown,142
90,Opp 120,2023-08-21,2024-01-11, Account 103, Top 3,8.648,Closed Lost,Sales Specialist 41,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Price,Unknown,143
91,Opp 121,2023-08-21,2024-01-11, Account 104, Top 3,14.972,Closed Lost,Sales Specialist 41,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Price,Unknown,143
92,Opp 122,2023-07-03,2024-01-11, Account 22, Small,1.447,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Referral,New Business,Campaing 25,Project/Budget Cancelled/Out of Business,Unknown,192
93,Opp 123,2023-09-06,2024-01-11, Account 100, Small,709.0,Closed Lost,Sales Specialist 15,Country 2,Region 1,Segment 2,Unknown,Existing Business,Campaing 25,Project/Budget Cancelled/Out of Business,Unknown,127
94,Opp 124,2023-07-20,2024-01-11, Account 105, Top 2,14.972,Closed Lost,Sales Specialist 42,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Features / Specification / Performance,Unknown,175
95,Opp 125,2023-10-18,2024-01-12, Account 106, Top 1,2.764,Closed Lost,Sales Specialist 43,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Unable to Confirm Sale,Unknown,86
96,Opp 126,2023-07-25,2024-01-27, Account 107, Top 3,5.975,Closed Lost,Sales Specialist 44,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Project/Budget Cancelled/Out of Business,Unknown,186
97,Opp 127,2023-10-05,2024-01-30, Account 108, Top 3,8.347,Closed Lost,Sales Specialist 45,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Unable to Confirm Sale,Unknown,117
98,Opp 128,2023-03-16,2024-01-30, Account 109, Top 1,885.0,Closed Lost,Sales Specialist 44,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Price,Unknown,320
99,Opp 129,2023-10-02,2024-02-26, Account 110, Top 3,31.866,Closed Lost,Sales Specialist 40,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Project/Budget Cancelled/Out of Business,Unknown,147
100,Opp 130,2023-08-31,2024-03-01, Account 111, Top 3,5.67,Closed Lost,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Price,Unknown,183
101,Opp 131,2023-11-10,2024-03-05, Account 112, Top 2,10.042,Closed Lost,Sales Specialist 43,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Unable to Confirm Sale,Unknown,116
